time_ms,temp_cC,pressPa,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,latitude,longitude,flags_raw,flag_armed,flag_gps_fix,flag_altitude_hold,flag_battery_low,flag_sensor_error,flag_recovery_mode,flag_data_logging,flag_telemetry_active,timestamp,time_s,altitude,accel_total,mag_total,speed,temperature,battery_voltage,rssi,roll,pitch,yaw
0,25.000000,193281,45,-329,-114,469,993,387,-170.400000,123.000000,-81.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:00:00,0.000000,-5796.830300,1.164379,351.086884,0.000000,25.000000,7.350000,-100,68.707740,-23.125794,-82.211521
100,25.000000,193281,-328,188,247,-458,-1269,714,-164.900000,53.300000,17.800000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:01:40,0.100000,-5796.830300,1.526408,451.593844,0.000000,25.000000,7.350000,-100,-60.635816,18.751350,150.179927
200,25.000000,193281,462,176,-427,1747,-804,-1190,69.500000,50.200000,-80.600000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:03:20,0.200000,-5796.830300,2.261532,653.260285,0.000000,25.000000,7.350000,-100,-145.955850,-42.252492,20.854458
300,25.000000,193281,-401,444,172,-1595,-567,241,16.400000,77.300000,-91.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:05:00,0.300000,-5796.830300,1.709852,622.511847,0.000000,25.000000,7.350000,-100,-66.972368,43.296452,132.086870
400,25.000000,193281,366,333,-168,-1990,1433,-1742,45.000000,-26.100000,87.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:06:40,0.400000,-5796.830300,3.008015,522.560044,0.000000,25.000000,7.350000,-100,140.558682,39.059180,42.297056
500,25.000000,193281,-250,215,288,1063,140,-1668,-178.300000,-142.300000,-179.100000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:08:20,0.500000,-5796.830300,1.982875,437.800183,0.000000,25.000000,7.350000,-100,175.202247,-44.753676,139.304469
600,25.000000,193281,3,189,415,345,1956,1430,-159.300000,-118.600000,56.700000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:10:00,0.600000,-5796.830300,2.447419,456.020833,0.000000,25.000000,7.350000,-100,53.830065,-9.853912,89.090620
700,25.000000,193281,64,-94,263,1758,-636,1174,-166.200000,-144.200000,27.400000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:11:40,0.700000,-5796.830300,2.207563,286.532721,0.000000,25.000000,7.350000,-100,-28.446073,-43.239308,-55.750967
800,25.000000,193281,-443,151,-70,-1615,-1204,-1752,112.000000,-62.500000,-71.500000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:13:20,0.800000,-5796.830300,2.669709,473.233558,0.000000,25.000000,7.350000,-100,-145.502582,38.719996,161.177923
900,25.000000,193281,-461,-128,98,401,-367,-1324,-20.100000,63.300000,-113.300000,-51.618382,37.617600,22,False,True,True,False,True,False,False,False,1970-01-01 00:15:00,0.900000,-5796.830300,1.431246,488.373832,0.000000,25.000000,7.350000,-100,-164.507141,-36.415767,-164.482299
